Company,Date Posted,Job_Description,Location,Title
"ServiceSource, Inc.",10/14/2016,"The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. These five duties and responsibilities will be rated on the Annual Performance Review.  ...","Oakton, VA",Cook I
Marriott International,10/14/2016,"Operate and maintain cleaning equipment and tools, including the dish washing machine, hand wash stations pot scrubbing station, and trash compactor. Wash and disinfect kitchen and store room areas, tables, tools, knives, and equipment. Receive deliveries, store perishables properly, and rotate stoc ...","Washington, DC",Steward
Marriott International,10/14/2016,"Cook II Casual Dining 1 (16001JAQ) At more than 80 award winning properties worldwide, The Ritz Carlton Ladies and Gentlemen create experiences so exceptional that long after a guest stays with us, the experience stays with them. As the premier worldwide provider of luxury experiences, we set the st ...","Washington, DC",Cook II Casual Dining 1
Loews Annapolis Hotel,10/14/2016,"Loews Annapolis Hotel, is a 215 room hotel located in the downtown Annapolis area, just blocks away from the waterfront and historic district. In addition to boasting beautiful, newly updated guest rooms and 20,000 square feet of function space, we are the proud home of BAROAK Cookhouse and Taproom. ...","Annapolis, MD",Full time Restaurant Host/Hostess
Loews Annapolis Hotel,10/14/2016,"Loews Annapolis Hotel, a 215 room newly updated property boasting 20, 000 square feet of function space is seeking a part time Banquet Server The responsibilities of the Banquet Server is to perform all tasks associated with presetting, serving and breaking down service related materials in function ...","Annapolis, MD",Part time Banquet server
Loews Annapolis Hotel,10/14/2016,"The Loews Annapolis Hotel and BAROAK Restaurant is seeking an Assistant Restaurant Manager to join our team. Loews Annapolis Hotel is a 215 room, upscale, full service property that boasts a complete makeover in both guest rooms and public space! We are proud of our 17,000 square feet of function sp ...","Annapolis, MD",Assistant Restaurant Manager
Loews Annapolis Hotel,10/14/2016,"Loews Annapolis Hotel is an upscale 215 room hotel located in downtown Annapolis just blocks from the waterfront, Historic District and US Naval Academy. We are home to the BAROAK Cookhouse and Tavern and we boast beautiful, newly updated 20,000 square feet of function space in both the main buildin ...","Annapolis, MD",Part time Banquet Houseperson
Nando's Peri-Peri Chicken,10/14/2016,"Managers of Nando's FAMILY lead and manage all restaurant operations with visible enthusiasm. They demonstrate that employees are of the highest priority, maintain a positive work environment and develop the next generation of restaurant leaders! They ensure Nando's value and standards are executed  ...","Washington, DC",Restaurant Manager
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","White Marsh, MD; Parkville, MD",Restaurant General and Assistant Manager- White Marsh
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Fairfax, VA; Merrifield, VA; Sterling, VA",Five Guys Hiring Event for ALL POSITIONS - Fairfax
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Alexandria, VA; Annandale, VA; Arlington, VA",Five Guys Hiring Event for ALL POSITIONS - Arlington
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Frederick, MD","Restaurant Crew Members, Shift Leaders & Shift Managers! - F..."
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Arlington, VA; Manassas, VA; Woodbridge, VA",Hiring NOW for all POSITION! - Northern Virginia!
Marriott International,10/14/2016,"Dishwasher (Utility) (16001CGY) Marriott International portfolio of brands includes both JW Marriott and Marriott Hotels. Marriott Hotels , Marriott International's flagship brand with more than 500 global locations, is advancing the art of hosting so that our guests can travel brilliantly. As a hos ...","Falls Church, VA",Dishwasher (Utility)
Marriott International,10/14/2016,"Prepare ingredients for cooking, including portioning, chopping, and storing food. Wash and peel fresh fruits and vegetables. Weigh, measure, and mix ingredients. Prepare and cook food according to recipes, quality standards, presentation standards, and food preparation checklist. Prepare cold foods ...","Washington, DC",Cook Apprentice
Marriott International,10/14/2016,"Greet guests and determine the number in their party. Seat guests by finding a clean, available table; pulling out chairs; placing clean/current menu in front of guest, etc. Guide guests through the dining rooms and provide any needed assistance. Move and arrange tables, chairs, and settings and org ...","Bethesda, MD",Host / Hostess
Marriott International,10/14/2016,"Prepare ingredients for cooking, including portioning, chopping, and storing food. Wash and peel fresh fruits and vegetables. Weigh, measure, and mix ingredients. Prepare and cook food according to recipes, quality standards, presentation standards, and food preparation checklist. Prepare cold foods ...","Gaithersburg, MD",Cook
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Falls Church, VA; Merrifield, VA; Tysons Corner, VA",Restaurant Crew Members and Shift Leaders- Tyson's Corner
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Washington, DC; Bethesda, MD; Arlington, VA",Restaurant Shift Managers - National Place
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Fort Washington, MD; Alexandria, VA; Annandale, VA",Restaurant Crew Members - New Store in Alexandria!
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Fort Washington, MD; Alexandria, VA; Annandale, VA",Hiring Management for the OLD TOWN Location!
FIVE GUYS,10/14/2016,"Are you looking to take your career to the next level? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We are fanatical about giving phenomenal customer service, and making the best burgers and fries. Five Guys now ...","Washington, DC",Restaurant Assistant Manager - Fort Totten
FIVE GUYS,10/14/2016,"Are you looking to take your career to the next level? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We are fanatical about giving phenomenal customer service, and making the best burgers and fries .Five Guys now ...","Parkville, MD",Restaurant General Manager- Parkville
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Washington, DC; Bethesda, MD; Arlington, VA",Hiring Event for Crew Members & Shift Leaders - Fort Totten
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Washington, DC; Bethesda, MD; Arlington, VA",Restaurant Crew Members & Shift Leaders - Fort Totten
FIVE GUYS,10/14/2016,"GENERAL MANAGER Five Guys General Manager should be passionate about the industry, inspiring others, coaching, counseling, creating a profitable environment, we are fanatical about delivering exceptional customer experience. Requirements • Maintain fast, accurate service, positive guest relatio ...","Gettysburg, PA; Hanover, PA; York, PA",Restaurant General Managers - Hanover
FIVE GUYS,10/14/2016,"Maintain fast, accurate service, positive guest relations, and ensure products are consistent with company quality standards. Control day to day operations by scheduling, ordering , and developing the restaurants team. Control profit and loss, by following cash control/security procedures, maintaini ...","Washington, DC; Washington Navy Yard, DC; Chevy Chase, MD",Restaurant Assistant and General Managers - Highland Park
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","Alexandria, VA; Fairfax, VA; Reston, VA",Restaurant Shift Leaders & Shift Managers - Fairfax
FIVE GUYS,10/14/2016,"Are you looking to kick start your career? Come join the Five Guys team! Five Guys is a family owned business that really cares about the growth and success of their employees. We offer a fun, energetic environment with competitive wages and a potential for bonus, opportunities for rapid advancement ...","McLean, VA; Falls Church, VA; Great Falls, VA",Restaurant Shift Leaders & Shift Managers - Tysons
HMSHost Corporation,10/13/2016,"The Shift Supervisor is responsible for assisting management in monitoring the day to day activities of subordinates, aiding in monitoring associate productivity, assigning responsibility for specified work and/or functional activities within the framework set by management, giving work directions,  ...","Washington, DC",Starbucks Shift Supervisor - Open Availability Preferred!
MGM National Harbor,10/13/2016,"It is the primary responsibility of the Cocktail Server to greet guests in a timely manner, take guest orders, and serve orders quickly and accurately while providing excellent guest service. All duties are to be performed in accordance with federal, state, local laws, regulations, and ordinances, a ...","Oxon Hill, MD",Cocktail Server
MGM National Harbor,10/13/2016,"It is the primary responsibility of the Gourmet Food Server to provide high quality food and beverage service to guests. All duties must be performed in accordance with federal, state, local laws, regulations, and ordinances, as well as department/Company and property policies, practices, procedures ...","Oxon Hill, MD",Server - Gourmet
MGM National Harbor,10/13/2016,"It is the primary responsibility of the High Volume Food Server to provide high quality food and beverage service to guests in a fast paced work environment, while following all local and departmental policies and procedures and in accordance to service standards. POSITION RESPONSIBILITIES/DUTIES Po ...","Oxon Hill, MD",Server - High Volume
MedStar Georgetown University...,10/13/2016,"Responsible for patient meal service food on assigned units, e.g. menu selections, tray assembly, tray delivery and pick up, special requests and needs, in between meal food delivery. Communicates patient food issues/concerns and needs to appropriate persons within the Food and Nutrition department. ...","Washington, DC",Food Service Worker II
Hyatt,10/13/2016,"At Hyatt, we believe our guests select Hyatt because of our caring and attentive associates who are focused on providing efficient service and meaningful experiences. Bartenders are responsible for providing libations and offering customized recommendations. The right person should be familiar with  ...","Washington, DC",Bartender (Full-Time)
Marriott International,10/13/2016,"Senior Manager Spa Operation, Americas (Integration) (16001I32) Marriott International offers you the opportunity to find the hospitality job and career journey that's right for you. With more than 5700 properties and 30 brands you'll find us in your neighborhood and in more than 110 countries acros ...","Bethesda, MD","Senior Manager - Spa Operation, Americas (Integration)"
Howard Community College,10/13/2016,"The Center for Hospitality and Culinary Studies which us an American Culinary Federation (ACF) Accredited program is seeking adjunct instructors for employment in Baking and Pastries for the Spring, Summer and Fall terms. Candidate must have strong instructional and leadership skills in the culinary ...","Columbia, MD",Baking and Pastries Adjunct Instructor
Howard Community College,10/13/2016,"The Center for Hospitality and Culinary Studies which is an American Culinary Federation (ACF) Accredited program is seeking adjunct instructors for employment in Culinary Arts for the Spring, Summer and Fall terms. Candidate must have strong instructional and leadership skills in the culinary field ...","Columbia, MD",Culinary Arts Adjunct Instructor
Marriott International,10/13/2016,"Dir Food & Beverage (16001IVR) Gaylord Hotels is a multi location hospitality brand guided by a single focus extraordinary meetings and conventions. From guest rooms and meeting space, to entertainment and dining all in a self contained environment, Gaylord Hotels makes meeting planning easy and pro ...","Oxon Hill, MD; Washington, DC; National Harbor, MD",Dir-Food & Beverage
Marriott International,10/13/2016,"Manager cafeteria (NE) (16001IDX) Gaylord Hotels is a multi location hospitality brand guided by a single focus extraordinary meetings and conventions. From guest rooms and meeting space, to entertainment and dining all in a self contained environment, Gaylord Hotels makes meeting planning easy and  ...","Oxon Hill, MD; Washington, DC; National Harbor, MD",Manager-cafeteria (NE)
Marriott International,10/13/2016,Accountable for overall success of the daily kitchen operations. Exhibits culinary talents by personally performing tasks while leading the staff and managing all food related functions. Works to continually improve guest and employee satisfaction while maintaining the operating budget. Supervises a ...,"Oxon Hill, MD; Washington, DC; National Harbor, MD",SousChef
Marriott International,10/13/2016,"Assistant Manager of Banquets Baltimore (160013O0) Marriott International portfolio of brands includes both JW Marriott and Marriott Hotels. Marriott Hotels , Marriott International's flagship brand with more than 500 global locations, is advancing the art of hosting so that our guests can travel br ...","Baltimore, MD",Assistant Manager of Banquets - Baltimore
Brooke Grove Foundation,10/13/2016,Brooke Grove Retirement Village is currently seeking Culinary Services Coordinators (cooks) to assist in the Culinary Department.  At the Rehabilitation and Nursing Center we have a Full Time cook position (12 00pm to 8 30pm with alternating weekends) available as well as PRN positions all shifts. A ...,"Sandy Spring, MD",Culinary Services Coodinator (cook)
Hyatt,10/13/2016,"This culinary position requires good communication skills as well as at least two years of previous line and fine dining experience. A Culinary degree or related hotel experience preferred. Candidates should be able to perform all basic and intermediate cooking skills including preparation of soups, ...","Washington, DC",Cook 3 - Cafeteria
Five Star Quality Care,10/13/2016,"At this time we are seeking a Cook to join our team! Responsibilities of the Cook include, but are not limited to Preparation of a wide variety of menu items according to prescribed recipes Cleans and maintains work areas, utensils, and equipment Consistently maintains standards of quality, cost, pr ...","Columbia, MD",Cook
Brinton Woods,10/13/2016,"Brinton Woods Post Acute Care Center, a Long Term Care Provider in East Baltimore, is currently recruiting for an experienced Part Time Cook. This position will be responsible for preparing well balanced, nutritionally appropriate meals for our residents. Status Part Time Shift Weekends Essential Re ...","Baltimore, MD",Cook (Weekends)
Brinton Woods,10/13/2016,"Brinton Woods Health & Rehabilitation Center at Winfield is a 60 bed facility located in southern Carroll County, within 12 miles of Frederick, Howard, and Baltimore counties. Our home is situated in a country setting of picturesque fields and beautiful green pastures. We offer a wide range of nursi ...","Sykesville, MD",Dietary Aide / Cook
Friendship Public Charter Scho...,10/13/2016,"Under general supervision, to assist in the preparation and/or serving of a variety of food in quantity, and to perform related work as required Participates in the more specialized preparation and/or serving of foods, including preparing main dishes and baked goods, vegetables, salads, desserts and ...","Washington, DC",Food and Nutrition Associate
Marriott International,10/13/2016,"Restaurant Supervisor (16001IW3) Gaylord Hotels is a multi location hospitality brand guided by a single focus extraordinary meetings and conventions. From guest rooms and meeting space, to entertainment and dining all in a self contained environment, Gaylord Hotels makes meeting planning easy and p ...","Oxon Hill, MD; Washington, DC; National Harbor, MD",Restaurant Supervisor
Rumba Cafe,10/13/2016,Seeking Servers and a Hostess for the most exciting restaurant in Adams Morgan!  Applicants MUST have restaurant server/customer service experience.  Full Availability is a must.  Bi lingual (English and Spanish) is a plus.  For Servers Tips Certification is a plus.  Please apply for the Server or H ...,"Washington, DC",Server - Hostess
Marriott International,10/13/2016,"Prepare coffee breaks, carts, and stations with appropriate food and beverages as stated in Banquet Event Order. Prepare tables, action stations, buffets, service carts, dessert table/carts and cordial carts. Communicate additional meal requirements, allergies, dietary needs, and special requests to ...","Hyattsville, MD",Banquets Server
Southern Management Corporatio...,10/12/2016,Operations Manages the operations of Guest Services and ensures the achievement of hotel quality standards Receives guest concerns and ensures corrective action is taken to achieve complete guest satisfaction Develops and manages clear administrative guidelines and ensures these are adhered to throu ...,"College Park, MD",Hotel Manager
LifeBridge Health,10/12/2016,"Takes patient's food order utilizing Food and Nutrition's Room Service program. Acts as a liaison for patients, families, physicians and staff members as necessary to facilitate positive customer service. Requirements Formal working knowledge; equivalent to an Associate's degree (2 years college); r ...","Baltimore, MD",Room Service Call Center - Sinai
LifeBridge Health,10/12/2016,"Takes patient's food order utilizing Food and Nutrition's Room Service program. Acts as a liaison for patients, families, physicians and staff members as necessary to facilitate positive customer service. Requirements Formal working knowledge; equivalent to an Associate's degree (2 years college); r ...","Baltimore, MD",Room Service Call Center - Sinai
LifeBridge Health,10/12/2016,"Takes patient's food order utilizing Food and Nutrition's Room Service program. Acts as a liaison for patients, families, physicians and staff members as necessary to facilitate positive customer service. Requirements Formal working knowledge; equivalent to an Associate's degree (2 years college); r ...","Baltimore, MD",Room Service Call Center - Sinai
LifeBridge Health,10/12/2016,"Performs a variety of duties relating to handling, preparing, storing, and serving Kosher meals to assure compliance with Jewish dietary laws. Checks invoices for products received, instructs personnel in proper procedures for food handling, transfers food trucks to and from Kosher Kitchen and Dinin ...","Baltimore, MD",Mashgiach - PRN - Sinai
LifeBridge Health,10/12/2016,"Purpose of this position is to provide support services in the Household, encompassing and encouraging a home like dining experience in accordance with the ideals of Person First care. Requirements Entry level knowledge; basic employment skills; High School diploma GED equivalent or High School cert ...","Baltimore, MD",Household Host/Cook
LifeBridge Health,10/12/2016,"Distributes and collects patients' trays according to diet order, processes diet changes, prepares and serves nourishments, prepares carts. Requirements Entry level knowledge; basic employment skills; High School diploma or GED equivalent; Less than one year experience. Facility Part of LifeBridge H ...","Baltimore, MD",Dietary Hostess - PRN - Sinai
LifeBridge Health,10/12/2016,"Distributes and collects patients' trays according to diet order, processes diet changes, prepares and serves nourishments, prepares carts. Requirements Entry level knowledge; basic employment skills; High School diploma or GED equivalent; Less than one year experience. Facility Part of LifeBridge H ...","Baltimore, MD",Dietary Hostess - PRN - Sinai
LifeBridge Health,10/12/2016,"Distributes and collects patients' trays according to diet order, processes diet changes, prepares and serves nourishments, prepares carts. Requirements Entry level knowledge; basic employment skills; High School diploma or GED equivalent; Less than one year experience. Facility Part of LifeBridge H ...","Baltimore, MD",Dietary Hostess - PRN - Sinai
LifeBridge Health,10/12/2016,"Description Performs a variety of routine manual tasks in the main kitchen and cafeteria with regard to preparing and serving food to patients, employees and visitors. Duties performed will vary depending on specific area assigned. Requirements Entry level knowledge; basic employment skills; High Sc ...","Baltimore, MD",Dietary Aide - PRN - Sinai
LifeBridge Health,10/12/2016,"Description Performs a variety of routine manual tasks in the main kitchen and cafeteria with regard to preparing and serving food to patients, employees and visitors. Duties performed will vary depending on specific area assigned. Requirements Entry level knowledge; basic employment skills; High Sc ...","Baltimore, MD",Dietary Aide - PRN - Sinai
LifeBridge Health,10/12/2016,"Performs a variety of routine manual tasks in main kitchen and cafeteria with regard to preparing and serving food to residents, patients, employees and visitors. Duties performed will vary depending on specific assigned area. Requirements Entry level knowledge; basic employment skills; High School  ...","Baltimore, MD",Dietary Aide - Levindale
LifeBridge Health,10/12/2016,"Performs a variety of routine manual tasks in main kitchen and cafeteria with regard to preparing and serving food to residents, patients, employees and visitors. Duties performed will vary depending on specific assigned area. Requirements Entry level knowledge; basic employment skills; High School  ...","Baltimore, MD",Dietary Aide - Levindale
LifeBridge Health,10/12/2016,"Assembles and delivers patient trays, between meal nourishments, and supplements, ensuring quality of all food items and accuracy of menus delivered to residents. Maintains tray line supplies and patient galley stock. Responsible for safe food handling and maintaining sanitation of galleys and tray  ...","Randallstown, MD",Dietary Aide
LifeBridge Health,10/12/2016,"Assembles and delivers patient trays, between meal nourishments, and supplements, ensuring quality of all food items and accuracy of menus delivered to residents. Maintains tray line supplies and patient galley stock. Responsible for safe food handling and maintaining sanitation of galleys and tray  ...","Randallstown, MD",Dietary Aide
LifeBridge Health,10/12/2016,"Assembles and delivers patient trays, between meal nourishments, and supplements, ensuring quality of all food items and accuracy of menus delivered to residents. Maintains tray line supplies and patient galley stock. Responsible for safe food handling and maintaining sanitation of galleys and tray  ...","Randallstown, MD",Dietary Aide
LifeBridge Health,10/12/2016,"Assembles and delivers patient trays, between meal nourishments, and supplements, ensuring quality of all food items and accuracy of menus delivered to residents. Maintains tray line supplies and patient galley stock. Responsible for safe food handling and maintaining sanitation of galleys and tray  ...","Randallstown, MD",Dietary Aide
LifeBridge Health,10/12/2016,"Prepares and cooks foods for hospital patients, employees and visitors; ensures all foods are prepared on time and all work areas and equipment are maintained according to Hospital and department policies, safety and sanitation requirements. Duties performed will vary depending on specific area assi ...","Baltimore, MD",Cook II - Sinai
LifeBridge Health,10/12/2016,"Prepares and cooks for hospital patients, employees, and visitors; ensures all foods are prepared on time and all work areas an equipment are maintained according to Hospital and departmental policies, safety and sanitation requirements. Duties performed will vary depending on specific areas assigne ...","Baltimore, MD",Cook II - PRN - Sinai
LifeBridge Health,10/12/2016,"Prepares and cooks for hospital patients, employees, and visitors; ensures all foods are prepared on time and all work areas an equipment are maintained according to Hospital and departmental policies, safety and sanitation requirements. Duties performed will vary depending on specific areas assigne ...","Baltimore, MD",Cook II - PRN - Sinai
LifeBridge Health,10/12/2016,"Prepares and cooks foods for hospital patients, employees and visitors; ensures all foods are prepared on time and all work areas and equipment are maintained according to Hospital and department policies, safety and sanitation requirements. Duties performed will vary depending on specific area assi ...","Baltimore, MD",Cook II - Union - Sinai
LifeBridge Health,10/12/2016,"Prepares and cooks foods for the Hospital patients, staff, and visitors as directed by management. Responsible for overall sanitation of the department. Requirements Entry level knowledge; basic employment skills; High School diploma or GED equivalent. One to three (1 3) years of experience. Facilit ...","Baltimore, MD",Cook - Levindale
LifeBridge Health,10/12/2016,"Prepares and cooks foods for the Hospital patients, staff, and visitors as directed by management. Responsible for overall sanitation of the department. Requirements Entry level knowledge; basic employment skills; High School diploma or GED equivalent. One to three (1 3) years of experience. Facilit ...","Baltimore, MD",Cook - Levindale
